start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
24480,16.105239,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
24960,16.421028,227,0.14934188124999961,42,F2.5#,80,2,0
24960,16.421028,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
25680,16.8947115,227,0.1493418812500015,42,F2.5#,80,2,0
25680,16.8947115,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
26400,17.368395,227,0.1493418812500015,42,F2.5#,80,2,0
26400,17.368395,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
26880,17.684184,227,0.1493418812500015,45,A2.75,80,2,0
26880,17.684184,227,0.1493418812500015,52,E3.333333333333333,80,2,0
27600,18.1578675,227,0.1493418812500015,45,A2.75,80,2,0
27600,18.1578675,227,0.1493418812500015,52,E3.333333333333333,80,2,0
28320,18.631551,227,0.1493418812500015,45,A2.75,80,2,0
28320,18.631551,227,0.1493418812500015,52,E3.333333333333333,80,2,0
28800,18.94734,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
28800,18.94734,227,0.1493418812500015,54,F3.5#,80,2,0
29520,19.4210235,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
29520,19.4210235,227,0.1493418812500015,54,F3.5#,80,2,0
30240,19.894707,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
30240,19.894707,227,0.1493418812500015,54,F3.5#,80,2,0
30720,20.210496,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
30720,20.210496,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
31440,20.6841795,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
31440,20.6841795,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
32160,21.157863,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
32160,21.157863,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
32640,21.473652,227,0.1493418812500015,42,F2.5#,80,2,0
32640,21.473652,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
33360,21.9473355,227,0.1493418812500015,42,F2.5#,80,2,0
33360,21.9473355,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
34080,22.421019,227,0.1493418812500015,42,F2.5#,80,2,0
34080,22.421019,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
34560,22.736808,227,0.1493418812500015,45,A2.75,80,2,0
34560,22.736808,227,0.1493418812500015,52,E3.333333333333333,80,2,0
35280,23.2104915,227,0.1493418812500015,45,A2.75,80,2,0
35280,23.2104915,227,0.1493418812500015,52,E3.333333333333333,80,2,0
36000,23.684175,227,0.1493418812500015,45,A2.75,80,2,0
36000,23.684175,227,0.1493418812500015,52,E3.333333333333333,80,2,0
36480,23.999964,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
36480,23.999964,227,0.1493418812500015,54,F3.5#,80,2,0
37200,24.4736475,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
37200,24.4736475,227,0.1493418812500015,54,F3.5#,80,2,0
37920,24.947331,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
37920,24.947331,227,0.1493418812500015,54,F3.5#,80,2,0
38400,25.26312,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
38400,25.26312,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
39120,25.7368035,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
39120,25.7368035,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
39840,26.210487,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
39840,26.210487,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
40320,26.526276,227,0.1493418812500015,42,F2.5#,80,2,0
40320,26.526276,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
41040,26.9999595,227,0.1493418812500015,42,F2.5#,80,2,0
41040,26.9999595,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
41760,27.473643,227,0.1493418812500015,42,F2.5#,80,2,0
41760,27.473643,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
42240,27.789432,227,0.1493418812500015,45,A2.75,80,2,0
42240,27.789432,227,0.1493418812500015,52,E3.333333333333333,80,2,0
42960,28.2631155,227,0.1493418812500015,45,A2.75,80,2,0
42960,28.2631155,227,0.1493418812500015,52,E3.333333333333333,80,2,0
43680,28.736799,227,0.1493418812500015,45,A2.75,80,2,0
43680,28.736799,227,0.1493418812500015,52,E3.333333333333333,80,2,0
44160,29.052588,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
44160,29.052588,227,0.1493418812500015,54,F3.5#,80,2,0
44880,29.5262715,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
44880,29.5262715,227,0.1493418812500015,54,F3.5#,80,2,0
45600,29.999955,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
45600,29.999955,227,0.1493418812500015,54,F3.5#,80,2,0
46080,30.315744,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
46080,30.315744,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
46800,30.7894275,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
46800,30.7894275,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
47520,31.263111,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
47520,31.263111,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
48000,31.5789,227,0.1493418812500015,42,F2.5#,80,2,0
48000,31.5789,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
48720,32.0525835,227,0.1493418812500015,42,F2.5#,80,2,0
48720,32.0525835,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
