id,value,tweet,type,account_type
katyperry,32206,Carole Burnett is my hero ❤️,0,0
katyperry,27999,Neuroplasticity is the new plastic surgery,0,0
katyperry,17530,happiest 2019 from us ❤️ @ Kauai https://t.co/r0WJaSJDdU,0,0
katyperry,14634,♠️♥️ happiest 42nd birthday to the kindest and cutest man I’ve had the pleasure of spending time with ♥️♠️ https://t.co/r0mGMoVEnV,0,0
BeingSalmanKhan,67889,Bharat Khelega... #onlocationstories @Bharat_TheFilm https://t.co/PQfPPT7FwA,0,0
BeingSalmanKhan,66682,"Roz karte ho toh karo... magar trainer ke bina matt try karo... 
#TMM2019 #BeBetter @TataMumMarathon @RadioMirchi… https://t.co/4cVMZszma0",0,0
BeingSalmanKhan,62914,"#Bharat wishes every one a happy Republic Day... Jai Hind..
@Bharat_TheFilm https://t.co/Zr0bZojQKb",0,0
BeingSalmanKhan,52573,"Paanch Saal ho Gaye jai ho ko. Thank u bhi bolo n Help 3 people n ask them to help 3 more. Jai jawaan, jai kisaan j… https://t.co/wmiv6yZt2l",0,0
BeingSalmanKhan,44491,"Bas #5MinuteAur - haven’t v all asked for it - in playgrounds, exam halls ke in the phone? 

Let’s be the voice of… https://t.co/AJDz0whBCu",0,0
YouTube,278662,"Years of blood, sweat, and tears have led to this -- and @bts_twt is just getting started.  

#BurnTheStageTheMovie… https://t.co/qOL6MHvgB4",0,1
YouTube,118511,"It’s official -- #BurnTheStageTheMovie is coming to YouTube Premium! 💜💜💜

Join @bts_twt on their journey this Frida… https://t.co/fcdXJlxXht",0,1
YouTube,44001,"With their family of friends and each other for support, @bts_twt never walks alone on their way to the top. 💜 

We… https://t.co/Ei2J5QQdC8",0,1
YouTube,28069,"People asked us what YouTube would look like if Article 13 gets implemented in the wrong way. 

So we mocked this u… https://t.co/rAcbKdbNTN",0,1
YouTube,9731,Reposting this baby meerkat video because it's Friday and you deserve it: https://t.co/J7H4GGEsZE. https://t.co/4eR8JHU967,0,1
Oprah,6389,"“When it's over, I want to say all my life I was a bride married to amazement.” Mary Oliver
 I’ve been soothed, com… https://t.co/JDItrswnIE",0,0
Oprah,6331,So proud of my daughter-girls from my Academy in South Africa. Thank you @People for sharing their journeys. https://t.co/GVgJlTZzKj,0,0
Oprah,5516,@TheEllenShow just watched RELATABLE with our whole household. Lots of laughing out loud over here!!😂😂 Bravo my friend👏🏽👏🏽👏🏽,0,0
Oprah,4154,We just launched The OG Chronicles for @OprahMagazine today. I will never look at Saran Wrap the same because of Ga… https://t.co/EGWr5PBFEF,0,0
Oprah,1926,Such a great episode. @IyanlaVanzant. Bravo for clarifying how infectious a lie can be.  #FixMyLife,0,0
Pink,30308,ROCK N ROLL!!!!!! SOOOOOOO GOOOD I MISS THIS https://t.co/qZ2EJ0it7x,0,0
Pink,26329,https://t.co/2ZUBD8DLv3,0,0
Pink,8983,Well I certainly vote for willow. https://t.co/V8DSBlxomb,0,0
Pink,2518,Holy hoarse Batman https://t.co/LyduLJqXAC,0,0
TheEllenShow,135520,4… 3… 2… ONE! HAPPY NEW YEAR! Close enough. I’m going to bed. See you in 2019.,0,0
TheEllenShow,82669,I believe in forgiveness. I believe in second chances. And I believe in @KevinHart4real. https://t.co/oJxfGXhU4P,0,0
TheEllenShow,64635,Thank you for all of my wonderful birthday posts and messages. You made me very happy. ❤️,0,0
TheEllenShow,55013,"Happy birthday, Bradley Cooper. I thought about you all winter break while I was in the pool... in the shalalalalalallows.",0,0
TheEllenShow,51738,It’s been a year since the mudslides in Montecito. It’s been a year since my dad died. I’m putting a little extra l… https://t.co/4wpqfZP9aP,0,0
KevinHart4real,35986,I don't want to send everyone into a panic...But I just measured myself and it said 5 foot 6....ya boy is still growing!!!!! 🕺🏾🕺🏾🕺🏾🕺🏾,0,0
KevinHart4real,15604,I stand with a man in his time of hurt and need by giving him heart felt support and u take the time to harp on my… https://t.co/G1ushoXfq3,0,0
KevinHart4real,13447,Sending prayers your way @jussiesmollett ....This is unbelievably sad. Why are we going backwards....this is disgus… https://t.co/cZSe2n9FTk,0,0
KevinHart4real,12854,"When did we get to the point where we forgot that we all learn, then we all have the ability to grow and with that… https://t.co/4cigvRMS9E",0,0
KevinHart4real,11693,"This honestly might be my biggest box office accomplishment of my career. There is always a ""Upside"" to Everything.… https://t.co/n1x87Oy0ik",0,0
BBCBreaking,16308,UK PM Theresa May loses MPs’ #BrexitVote on her deal by 432 votes to 202 - the biggest government defeat since 1924… https://t.co/cCjqtLlpMc,0,1
BBCBreaking,6551,"Signals from Nasa probe confirm it survived flyby of Ultima Thule, most distant object ever explored in Solar System https://t.co/yh81HtPOsG",0,1
BBCBreaking,6281,"Saudi teenager Rahaf al-Qunun, who fled her family and got stranded in Bangkok, has arrived in Canada after being g… https://t.co/uGiJi5P4VT",0,1
BBCBreaking,4045,"A Saudi woman who fled her family and refused to leave a Bangkok hotel given refugee status by UN, Australia says https://t.co/8mHejj4XL4",0,1
BBCBreaking,3561,Theresa May's government survives a no confidence vote by 325 to 306 - but has yet to get MPs to back a Brexit plan… https://t.co/t6NVoClWyF,0,1
aliciakeys,13792,BIG news.... 🔥🔥🔥 @CBS https://t.co/tMBjNFH2wj https://t.co/QwrOWdejlt,0,0
aliciakeys,11746,What in the world was I thinking?? 🤔🤔 https://t.co/PAvPc6fLUo,0,0
