id,likes,tweet,created_at,followers_count,name,type
ladygaga,342741,🍾 https://t.co/Q6acdQrhaf,Mon Jan 07 23:00:32 +0000 2019,77721548,Lady Gaga,0
ladygaga,278102,I stand by anyone who has ever been the victim of sexual assault: https://t.co/67sz4WpV3i,Thu Jan 10 05:43:09 +0000 2019,77721548,Lady Gaga,0
ladygaga,213070,"Goodbye, my angel 💔 https://t.co/KnWlt2ryuC",Mon Jan 14 04:44:06 +0000 2019,77721548,Lady Gaga,0
ladygaga,136506,"I am so beyond grateful for this Golden Globe &amp; honored to have won it w/ @MarkRonson @Wyattish , Anthony Rossomand… https://t.co/NtNJsn4MaC",Mon Jan 07 05:54:10 +0000 2019,77721548,Lady Gaga,0
ladygaga,85441,"Thank you so much to the National Board of Review! ❤️ It was an honor, I’m so humbled to win best actress! 🌟🌟🌟🌟🌟🌟🌟🌟… https://t.co/72GfGmnncJ",Wed Jan 09 08:48:36 +0000 2019,77721548,Lady Gaga,0
