id,likes,tweet,created_at,followers_count,name,type
britneyspears,104378,"Can you believe that this album was released 20 years ago today?! I can’t. It’s been the journey of a lifetime, but… https://t.co/YIbQqycPP6",Sat Jan 12 18:17:31 +0000 2019,56516301,Britney Spears,0
britneyspears,43179,"I don’t even know where to start with this, because this is so tough for me to say. I will not be performing my new… https://t.co/x6ZgG1vRNA",Fri Jan 04 17:09:31 +0000 2019,56516301,Britney Spears,0
britneyspears,24799,"I appreciate your prayers and support for my family during this time. Thank you, and love you all… always.",Fri Jan 04 17:09:32 +0000 2019,56516301,Britney Spears,0
britneyspears,18744,"However, it’s important to always put your family first… and that’s the decision I had to make. A couple of months… https://t.co/ZxXHLvUHJH",Fri Jan 04 17:09:32 +0000 2019,56516301,Britney Spears,0
britneyspears,17394,I had to make the difficult decision to put my full focus and energy on my family at this time. I hope you all can… https://t.co/4s8hs2KYNr,Fri Jan 04 17:09:32 +0000 2019,56516301,Britney Spears,0
