id,likes,tweet,created_at,followers_count,name,type
nytimes,19483,"Video showing a group of high school boys, many wearing ""Make America Great Again"" gear, surrounding and jeering a… https://t.co/2obS3Q5r0n",Sat Jan 19 22:30:06 +0000 2019,42767618,The New York Times,0
nytimes,14993,"Breaking News: Kamala Harris said she would run for president. A barrier-breaking California senator, she’s one of… https://t.co/3mRIgwEfOE",Mon Jan 21 12:34:43 +0000 2019,42767618,The New York Times,0
nytimes,12998,A Catholic high school is condemning the actions of students seen jeering a Native American elder in a video that h… https://t.co/zH4GQYGYwZ,Sun Jan 20 00:00:02 +0000 2019,42767618,The New York Times,0
nytimes,10577,"Donald Trump and his associates had more than 100 contacts with Russians and WikiLeaks before the inauguration, a T… https://t.co/5d6LqHOGyQ",Sat Jan 26 14:56:16 +0000 2019,42767618,The New York Times,0
nytimes,9888,"BREAKING: Julián Castro, the former housing secretary under President Obama, will run for president in 2020. He's o… https://t.co/yyQcZzD5bz",Sat Jan 12 17:43:56 +0000 2019,42767618,The New York Times,0
