id,likes,tweet,created_at,followers_count,name,type
BillGates,57065,Congratulations to the Indian government on the first 100 days of @AyushmanNHA. It’s great to see how many people h… https://t.co/mGXaz16H7W,Thu Jan 17 06:12:00 +0000 2019,46366909,Bill Gates,0
BillGates,54452,"Happy anniversary, @melindagates. I can’t wait to spend 25 more years laughing together. https://t.co/LMJ126c3ua",Tue Jan 01 16:32:34 +0000 2019,46366909,Bill Gates,0
BillGates,41288,It’s hard to beat this #10YearChallenge: https://t.co/HZqjeE2Q8t https://t.co/xyfvnBSXky,Sat Jan 26 13:16:00 +0000 2019,46366909,Bill Gates,0
BillGates,31786,This is one of my favorite infographics. A lot of people underestimate just how much life has improved over the las… https://t.co/NAKJypSzKM,Sat Jan 19 16:32:15 +0000 2019,46366909,Bill Gates,0
BillGates,17419,You can’t beat this ROI. https://t.co/MgzJkjec7l,Fri Jan 18 12:37:00 +0000 2019,46366909,Bill Gates,0
