,district,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other Religion,total_population
573,Dakshina Kannada,1403854.0,501896.0,171398.0,525.0,445.0,10397.0,138.0,2088653.0
574,Daman,171537.0,16087.0,2618.0,169.0,216.0,244.0,79.0,190950.0
575,Damoh,1186420.0,47966.0,1681.0,1096.0,119.0,25005.0,82.0,1262369.0
576,Darbhanga,3042729.0,881476.0,3534.0,832.0,245.0,236.0,101.0,3929153.0
577,Darjiling,1366681.0,105086.0,141848.0,2032.0,209240.0,1840.0,15523.0,1842250.0
578,Darrang,327322.0,597392.0,1688.0,431.0,57.0,724.0,19.0,927633.0
579,Datia,747693.0,28483.0,683.0,490.0,7923.0,453.0,10.0,785735.0
580,Dausa,1582335.0,45488.0,439.0,296.0,94.0,3737.0,115.0,1632504.0
581,Davanagere,1658465.0,265805.0,5420.0,307.0,164.0,6417.0,1743.0,1938321.0
582,Debagarh,296001.0,704.0,14518.0,53.0,102.0,7.0,409.0,311794.0
583,Dehradun,1424916.0,202057.0,13416.0,36454.0,11778.0,5117.0,217.0,1693955.0
584,Deoghar,1165140.0,302626.0,6027.0,143.0,188.0,282.0,16067.0,1490473.0
585,Deoria,2730957.0,358539.0,3626.0,818.0,1182.0,209.0,146.0,3095477.0
586,Dewas,1376591.0,174259.0,2355.0,2330.0,382.0,6497.0,72.0,1562486.0
587,Dhalai,307120.0,8256.0,22940.0,175.0,39120.0,85.0,206.0,377902.0
588,Dhamtari,777188.0,10425.0,2644.0,1196.0,667.0,3612.0,3685.0,799417.0
589,Dhanbad,2149480.0,431762.0,11243.0,9727.0,331.0,1268.0,77182.0,2680993.0
590,Dhar,2051219.0,116202.0,2261.0,1607.0,328.0,12199.0,88.0,2183904.0
591,Dharmapuri,1452956.0,38304.0,14089.0,164.0,39.0,37.0,87.0,1505676.0
592,Dharwad,1390020.0,386834.0,28747.0,1486.0,715.0,29037.0,2748.0,1839587.0
593,Dhaulpur,1127520.0,72258.0,688.0,1356.0,92.0,2739.0,21.0,1204674.0
594,Dhemaji,655052.0,13475.0,8711.0,297.0,911.0,167.0,6315.0,684928.0
595,Dhenkanal,1185542.0,4805.0,727.0,124.0,366.0,39.0,139.0,1191742.0
596,Dhubri,388380.0,1553023.0,4107.0,254.0,101.0,1846.0,45.0,1947756.0
597,Dhule,1825460.0,187901.0,3653.0,1422.0,13405.0,12818.0,912.0,2045571.0
598,Dibang Valley,3141.0,111.0,223.0,7.0,126.0,2.0,4267.0,7877.0
599,Dibrugarh,1198401.0,64526.0,52968.0,2261.0,4673.0,1055.0,46.0,1323930.0
600,Dima Hasao,143593.0,4358.0,63310.0,207.0,680.0,70.0,1170.0,213388.0
601,Dimapur,108900.0,31212.0,234239.0,566.0,1270.0,2148.0,157.0,378492.0
602,Dindigul,1879494.0,105012.0,169945.0,313.0,256.0,71.0,138.0,2155229.0
603,Dindori,605435.0,6736.0,4238.0,260.0,61.0,687.0,84006.0,701423.0
